corp_code,fy,rcept_no,rcept_dt,report_nm,is_amend,기업명,군,업종코드,cand_rank
00259590,2021,20220322000831,20220322,사업보고서 (2021.12),0,(주)바른손이앤에이,콘텐츠,591,1
00259590,2022,20230322001107,20230322,사업보고서 (2022.12),0,(주)바른손이앤에이,콘텐츠,591,0
00259590,2023,20240320001486,20240320,사업보고서 (2023.12),0,(주)바른손이앤에이,콘텐츠,591,0
00259590,2024,20250320001242,20250320,사업보고서 (2024.12),0,(주)바른손이앤에이,콘텐츠,591,0
00259590,2025,20260320001010,20260320,사업보고서 (2025.12),0,(주)바른손이앤에이,콘텐츠,591,0
00260930,2019,20200330004089,20200330,사업보고서 (2019.12),0,(주)에스엠엔터테인먼트,콘텐츠,59201,0
00260930,2020,20210322001115,20210322,사업보고서 (2020.12),0,(주)에스엠엔터테인먼트,콘텐츠,59201,0
00260930,2021,20220331003351,20220331,[기재정정]사업보고서 (2021.12),1,(주)에스엠엔터테인먼트,콘텐츠,59201,0
00260930,2021,20220323001290,20220323,사업보고서 (2021.12),0,(주)에스엠엔터테인먼트,콘텐츠,59201,1
00260930,2022,20230331004445,20230331,[기재정정]사업보고서 (2022.12),1,(주)에스엠엔터테인먼트,콘텐츠,59201,0
00260930,2022,20230323001460,20230323,사업보고서 (2022.12),0,(주)에스엠엔터테인먼트,콘텐츠,59201,1
00260930,2023,20240322000886,20240322,[기재정정]사업보고서 (2023.12),1,(주)에스엠엔터테인먼트,콘텐츠,59201,0
00260930,2023,20240319000808,20240319,사업보고서 (2023.12),0,(주)에스엠엔터테인먼트,콘텐츠,59201,1
00260930,2024,20250718000170,20250718,[기재정정]사업보고서 (2024.12),1,(주)에스엠엔터테인먼트,콘텐츠,59201,0
00260930,2024,20250317000813,20250317,사업보고서 (2024.12),0,(주)에스엠엔터테인먼트,콘텐츠,59201,1
00260930,2025,20260317000781,20260317,사업보고서 (2025.12),0,(주)에스엠엔터테인먼트,콘텐츠,59201,0
00263371,2019,20200327002059,20200327,사업보고서 (2019.12),0,(주)한국경제티브이,콘텐츠,60221,0
00263371,2020,20210326000643,20210326,[기재정정]사업보고서 (2020.12),1,(주)한국경제티브이,콘텐츠,60221,0
00263371,2020,20210318000764,20210318,사업보고서 (2020.12),0,(주)한국경제티브이,콘텐츠,60221,1
00263371,2021,20220317000615,20220317,사업보고서 (2021.12),0,(주)한국경제티브이,콘텐츠,60221,0
00263371,2022,20230324000965,20230324,[기재정정]사업보고서 (2022.12),1,(주)한국경제티브이,콘텐츠,60221,0
00263371,2022,20230316000338,20230316,사업보고서 (2022.12),0,(주)한국경제티브이,콘텐츠,60221,1
00263371,2023,20240322000707,20240322,[기재정정]사업보고서 (2023.12),1,(주)한국경제티브이,콘텐츠,60221,0
00263371,2023,20240314001190,20240314,사업보고서 (2023.12),0,(주)한국경제티브이,콘텐츠,60221,1
00263371,2024,20250320000818,20250320,[첨부추가]사업보고서 (2024.12),0,(주)한국경제티브이,콘텐츠,60221,0
00263371,2025,20260319000516,20260319,사업보고서 (2025.12),0,(주)한국경제티브이,콘텐츠,60221,0
00265324,2019,20200330004766,20200330,사업보고서 (2019.12),0,(주)씨제이이엔엠,콘텐츠,602,0
00265324,2020,20210416000249,20210416,[기재정정]사업보고서 (2020.12),1,(주)씨제이이엔엠,콘텐츠,602,0
00265324,2020,20210322001139,20210322,[기재정정]사업보고서 (2020.12),1,(주)씨제이이엔엠,콘텐츠,602,1
00265324,2020,20210322000740,20210322,사업보고서 (2020.12),0,(주)씨제이이엔엠,콘텐츠,602,2
00265324,2021,20220321001256,20220321,사업보고서 (2021.12),0,(주)씨제이이엔엠,콘텐츠,602,0
00265324,2022,20230320000724,20230320,사업보고서 (2022.12),0,(주)씨제이이엔엠,콘텐츠,602,0
00265324,2023,20240318000857,20240318,사업보고서 (2023.12),0,(주)씨제이이엔엠,콘텐츠,602,0
00265324,2024,20250319000884,20250319,사업보고서 (2024.12),0,(주)씨제이이엔엠,콘텐츠,602,0
00265324,2025,20260318001469,20260318,사업보고서 (2025.12),0,(주)씨제이이엔엠,콘텐츠,602,0
00266943,2019,20200330003825,20200330,사업보고서 (2019.12),0,넥슨지티(주),게임,5821,0
00266943,2020,20210317000666,20210317,사업보고서 (2020.12),0,넥슨지티(주),게임,5821,0
00266943,2021,20220317000812,20220317,사업보고서 (2021.12),0,넥슨지티(주),게임,5821,0
00280688,2019,20200330002703,20200330,사업보고서 (2019.12),0,스튜디오에스(주),콘텐츠,591,0
00280688,2020,20210318000705,20210318,사업보고서 (2020.12),0,스튜디오에스(주),콘텐츠,591,0
00280688,2021,20220317001191,20220317,사업보고서 (2021.12),0,스튜디오에스(주),콘텐츠,591,0
00280688,2022,20230315001296,20230315,사업보고서 (2022.12),0,스튜디오에스(주),콘텐츠,591,0
00280688,2023,20240321001065,20240321,사업보고서 (2023.12),0,스튜디오에스(주),콘텐츠,591,0
00299464,2019,20210322000479,20210322,[기재정정]사업보고서 (2019.12),1,(주)초록뱀미디어,콘텐츠,59114,0
00299464,2019,20200326000624,20200326,사업보고서 (2019.12),0,(주)초록뱀미디어,콘텐츠,59114,1
00299464,2020,20210330000707,20210330,[기재정정]사업보고서 (2020.12),1,(주)초록뱀미디어,콘텐츠,59114,0
00299464,2020,20210322000509,20210322,사업보고서 (2020.12),0,(주)초록뱀미디어,콘텐츠,59114,1
00299464,2021,20220322001073,20220322,사업보고서 (2021.12),0,(주)초록뱀미디어,콘텐츠,59114,0
00299464,2022,20230322001131,20230322,사업보고서 (2022.12),0,(주)초록뱀미디어,콘텐츠,59114,0
00299464,2023,20240320001829,20240320,사업보고서 (2023.12),0,(주)초록뱀미디어,콘텐츠,59114,0
00299464,2024,20250321001771,20250321,사업보고서 (2024.12),0,(주)초록뱀미디어,콘텐츠,59114,0
00299464,2025,20260323000926,20260323,사업보고서 (2025.12),0,(주)초록뱀미디어,콘텐츠,59114,0
00301112,2019,20200327001117,20200327,사업보고서 (2019.12),0,(주)삼화네트웍스,콘텐츠,59120,0
00301112,2020,20210322000251,20210322,사업보고서 (2020.12),0,(주)삼화네트웍스,콘텐츠,59120,0
00301112,2021,20220322000295,20220322,사업보고서 (2021.12),0,(주)삼화네트웍스,콘텐츠,59120,0
00301112,2022,20230323000380,20230323,사업보고서 (2022.12),0,(주)삼화네트웍스,콘텐츠,59120,0
00301112,2023,20240321001036,20240321,사업보고서 (2023.12),0,(주)삼화네트웍스,콘텐츠,59120,0
00301112,2024,20250320000129,20250320,사업보고서 (2024.12),0,(주)삼화네트웍스,콘텐츠,59120,0
00301112,2025,20260318000485,20260318,사업보고서 (2025.12),0,(주)삼화네트웍스,콘텐츠,59120,0
00303794,2019,20200330002612,20200330,사업보고서 (2019.12),0,(주)쇼박스,콘텐츠,59130,0
00303794,2020,20210310001210,20210310,사업보고서 (2020.12),0,(주)쇼박스,콘텐츠,59130,0
00303794,2021,20220315001143,20220315,사업보고서 (2021.12),0,(주)쇼박스,콘텐츠,59130,0
00303794,2022,20230315001421,20230315,사업보고서 (2022.12),0,(주)쇼박스,콘텐츠,59130,0
00303794,2023,20240313001426,20240313,사업보고서 (2023.12),0,(주)쇼박스,콘텐츠,59130,0
