corp_code,기업명,군,fy,has_report,has_gc,adverse,opinion,auditor,n_kam,sig_t1,why_t1,sig_t2,why_t2,sig_2y,sadv_t1,smiss_t1,sadv_t2,smiss_t2,sigB_t1,sigB_t2,sigB_2y
397058,주식회사 엠게임,게임,2020,1,0,0,적정,부터 2019년 12월 31일 까지 회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397058,주식회사 엠게임,게임,2021,1,0,0,적정,부터 2020년 12월 31일 까지 회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397058,주식회사 엠게임,게임,2022,1,0,0,적정,부터 2021년 12월 31일 까지 회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397058,주식회사 엠게임,게임,2023,1,0,0,적정,2023년 12월 31일 까지 대주회계법인,0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
397058,주식회사 엠게임,게임,2024,1,0,0,적정,2023년 12월 31일 까지 대주회계법인,0,,,,,,,,,,,,
397191,(주)팬엔터테인먼트,콘텐츠,2019,1,0,0,적정,2018년 12월 31일 까지 우리회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397191,(주)팬엔터테인먼트,콘텐츠,2020,1,0,0,적정,2019년 12월 31일 까지 우리회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397191,(주)팬엔터테인먼트,콘텐츠,2021,1,0,0,적정,2020년 12월 31일 까지 우리회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397191,(주)팬엔터테인먼트,콘텐츠,2022,1,0,0,적정,2021년 12월 31일 까지 우리회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397191,(주)팬엔터테인먼트,콘텐츠,2023,1,0,0,적정,2022년 12월 31일 까지 우리회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
397191,(주)팬엔터테인먼트,콘텐츠,2024,1,0,0,적정,2024년 12월 31일 까지 삼일회계법인,0,,,,,,,,,,,,
397252,(주)조이시티,게임,2019,1,0,0,적정,2018년 12월 31일 까지 삼일회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397252,(주)조이시티,게임,2020,1,0,0,적정,2019년 12월 31일 까지 삼일회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397252,(주)조이시티,게임,2021,1,0,0,적정,2020년 12월 31일 까지 삼일회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397252,(주)조이시티,게임,2022,1,0,0,적정,2021년 12월 31일 까지 삼일회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397252,(주)조이시티,게임,2023,1,0,0,적정,,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
397252,(주)조이시티,게임,2024,1,0,0,적정,,1,,,,,,,,,,,,
405320,(주)웹젠,게임,2019,1,0,0,적정,2018년 12월 31일 까지 삼일회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405320,(주)웹젠,게임,2020,1,0,0,적정,2019년 12월 31일 까지 삼일회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405320,(주)웹젠,게임,2021,1,0,0,적정,2020년 12월 31일 까지 삼일회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405320,(주)웹젠,게임,2022,1,0,0,적정,2021년 12월 31일 까지 삼일회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405320,(주)웹젠,게임,2023,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
405320,(주)웹젠,게임,2024,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,,,,,,,,,,,,
444329,(주)위메이드,게임,2019,1,0,0,적정,2018년 12월 31일 까지 한영회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444329,(주)위메이드,게임,2020,1,0,0,적정,2019년 12월 31일 까지 한영회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444329,(주)위메이드,게임,2021,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444329,(주)위메이드,게임,2022,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444329,(주)위메이드,게임,2023,1,0,0,적정,2022년 12월 31일 까지 삼정회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
444329,(주)위메이드,게임,2024,1,0,0,적정,) 회사의 전기 재무제표는 삼정회계법인,1,,,,,,,,,,,,
476498,(주)컴투스,게임,2019,1,0,0,적정,2018년 12월 31일 까지 삼일회계법인,2,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476498,(주)컴투스,게임,2020,1,0,0,미상,강남파이낸스센터 27층) 삼정회계법인,2,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476498,(주)컴투스,게임,2021,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,2,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476498,(주)컴투스,게임,2022,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476498,(주)컴투스,게임,2023,1,0,0,적정,2023년 12월 31일 까지 삼일회계법인,0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
476498,(주)컴투스,게임,2024,1,0,0,적정,2023년 12월 31일 까지 삼일회계법인,0,,,,,,,,,,,,
543204,(주)아이오케이이엔엠,콘텐츠,2019,1,0,0,적정,018년 12월 31일 까지 정진세림회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543204,(주)아이오케이이엔엠,콘텐츠,2020,1,0,0,적정,는 보고기간의 연결재무제표는 정진세림회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543204,(주)아이오케이이엔엠,콘텐츠,2021,1,0,0,적정,2020년 12월 31일 까지 태성회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543204,(주)아이오케이이엔엠,콘텐츠,2022,1,0,0,적정,2021년 12월 31일 까지 태성회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543204,(주)아이오케이이엔엠,콘텐츠,2023,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
543204,(주)아이오케이이엔엠,콘텐츠,2024,1,0,0,적정,2024년 12월 31일 까지 정동회계법인,0,,,,,,,,,,,,
550082,(주)캔버스엔,콘텐츠,2019,1,0,0,적정,2019년 12월 31일 까지 삼덕회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550082,(주)캔버스엔,콘텐츠,2020,1,0,0,적정,2019년 12월 31일 까지 삼덕회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550082,(주)캔버스엔,콘텐츠,2021,1,0,0,적정,2021년 12월 31일 까지 삼일회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550082,(주)캔버스엔,콘텐츠,2022,1,0,0,적정,) 회사의 전기 재무제표는 타회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550082,(주)캔버스엔,콘텐츠,2023,1,0,0,적정,,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
550082,(주)캔버스엔,콘텐츠,2024,1,0,0,적정,2024년 12월 31일 까지 삼덕회계법인,1,,,,,,,,,,,,
608699,주식회사 탑코미디어,콘텐츠,2019,1,0,0,적정,2018년 12월 31일 까지 삼화회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608699,주식회사 탑코미디어,콘텐츠,2020,1,0,0,적정,2019년 12월 31일 까지 인덕회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608699,주식회사 탑코미디어,콘텐츠,2021,1,0,0,적정,대하빌딩) 인덕회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608699,주식회사 탑코미디어,콘텐츠,2022,1,0,0,적정,2021년 12월 31일 까지 인덕회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608699,주식회사 탑코미디어,콘텐츠,2023,1,0,0,적정,2023년 12월 31일 까지 삼일회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
608699,주식회사 탑코미디어,콘텐츠,2024,1,0,0,적정,료되는 보고기간의 연결재무제표는 삼일회계법인,1,,,,,,,,,,,,
609661,(주)티쓰리엔터테인먼트,게임,2022,1,0,0,적정,2022년 12월 31일 까지 삼덕회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
